"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone"
"CLEAR CHOICE CANNABIS                        ";"413358";"6032670810010002";"8001 S HOSMER ST              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984081017";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2534445444"
"CLEAR LAKE GROW                              ";"420814";"6034750990010003";"12514 S CLEAR LAKE RD         ";"                         ";"CHENEY                  ";"WA";"SPOKANE";"990220000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLEAR MIND CANNABIS                          ";"422713";"6032012110010003";"6607 TIETON DR STE 2          ";"                         ";"YAKIMA                  ";"WA";"YAKIMA";"989081767";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLONERS MARKET INC.                          ";"417111";"6032919380010001";"11740 AURORA AVE N            ";"                         ";"SEATTLE                 ";"WA";"KING";"981338248";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLOUD 9                                      ";"420757";"6035525640010001";"1225 N SKIPWORTH CT           ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992064858";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLOUD 9                                      ";"422461";"6035906310010001";"3750 E VALLEY RD  STE B       ";"                         ";"RENTON                  ";"WA";"KING";"980574908";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLOUD 9                                      ";"422595";"6035906310010002";"5952 AIRPORT RD               ";"                         ";"PULLMAN                 ";"WA";"WHITMAN";"991638958";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CLUTCH CANNABIS                              ";"413803";"6033522420010001";"11537 RAINIER AVE S           ";"                         ";"SEATTLE                 ";"WA";"KING";"981783984";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2063210149"
"CM&N ENTERPRISES L.L.C.                      ";"422527";"6035941580010002";"1821 SE 192ND AVE             ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986070000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5416109508"
"COASTAL CANNABIS                             ";"422176";"6035867920010001";"1806 PACIFIC AVE.             ";"                         ";"LONG BEACH              ";"WA";"PACIFIC";"98630    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"COLUMBIA CITY HOLISTIC HEALTH                ";"421535";"6030993340010001";"5262 RAINIER AVE S            ";"                         ";"SEATTLE                 ";"WA";"KING";"981186104";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"COLUMBIA HERBAL                              ";"413806";"6033525730010003";"8459 MAIN ST                  ";"                         ";"DRYDEN                  ";"WA";"CHELAN";"988210000";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"COMPASSIONATE BOBS HOLISTICS                 ";"420981";"6030337430010002";"23223 LOWER DORRE DON WAY SE  ";"                         ";"MAPLE VALLEY            ";"WA";"KING";"980388283";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CONCESSION MANAGEMENT                        ";"413592";"6032198850010001";"11012 CANYON RD E STE 43      ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983734200";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CORNER STORE                                 ";"422191";"6027556490010002";"1279 CATTLE POINT RD          ";"                         ";"FRIDAY HARBOR           ";"WA";"SAN JUAN";"982506072";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"COTTONMOUTH COMPANY                          ";"420518";"6033518030010003";"704 W COLUMBIA DR             ";"                         ";"KENNEWICK               ";"WA";"BENTON";"993363545";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"COVINGTON HOLISTIC MEDICINE                  ";"421555";"6030644390010001";"16908 SE 269TH PLACE          ";"#102 BUILDING J          ";"COVINGTON               ";"WA";"KING";"980425468";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"CPC                                          ";"414787";"6035582520010002";"8600 LAKE CITY WAY NE         ";"                         ";"SEATTLE                 ";"WA";"KING";"981153260";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2066969765"
"CPC                                          ";"421261";"6035582520010001";"74 S LUCILE ST STE 102        ";"                         ";"SEATTLE                 ";"WA";"KING";"981342444";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2066969765"
"CPC TWO LLC                                  ";"414787";"6036161120010001";"8600 LAKE CITY WAY NE         ";"                         ";"SEATTLE                 ";"WA";"KING";"981153260";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CREDIBLE COMMODITIES, LLC                    ";"421576";"6035649850010001";"111 SE EVERETT MALL WAY       ";"SUITE 200                ";"EVERETT                 ";"WA";"SNOHOMISH";"982083235";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CRIMSON WAVE                                 ";"414491";"6033549480010002";"27623 COVINGTON WAY SE UNIT 1 ";"                         ";"COVINGTON               ";"WA";"KING";"980420000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"9168359616"
"CROWN & KUSH                                 ";"421572";"6035516390010002";"5105 S WILDWOOD LN            ";"                         ";"SEATTLE                 ";"WA";"KING";"981184252";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CROWN 206                                    ";"422247";"6035790510010001";"9414 ROOSEVELT WAY NE         ";"                         ";"SEATTLE                 ";"WA";"KING";"981152844";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"CUTIE JUDY'S CANNABIS COMPANY                ";"422234";"6033820290010002";"10 VALUE PARKWAY STE A        ";"                         ";"ELMA                    ";"WA";"GRAYS HARBOR";"984455527";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2532412948"
"CUTIE JUDY'S CANNABIS COMPANY                ";"422900";"6033820290010004";"10 VALUE PKWY                 ";"                         ";"ELMA                    ";"WA";"GRAYS HARBOR";"985419076";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D&D                                          ";"420773";"6035529030010001";"21907 43RD DR SE STE 1        ";"                         ";"BOTHELL                 ";"WA";"SNOHOMISH";"980217282";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D&D                                          ";"420774";"6035529030010002";"21907 43RD DR SE STE 2        ";"                         ";"BOTHELL                 ";"WA";"SNOHOMISH";"980217282";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D&D, LLC                                     ";"420859";"6035529030010003";"21907 43RD DR SE STE 3        ";"                         ";"BOTHELL                 ";"WA";"SNOHOMISH";"980217282";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D.O.P.E.                                     ";"421974";"6035810990010001";"600 W GARLAND AVE             ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992052955";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D2 INVESTMENTS LLC                           ";"420923";"6033584890010004";"8512 AURORA AVE N             ";"                         ";"SEATTLE                 ";"WA";"KING";"981033912";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"D2 INVESTMENTS LLC                           ";"421011";"6033584890010005";"12201 AURORA AVE N STE B      ";"                         ";"SEATTLE                 ";"WA";"KING";"981338032";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DABNABBITS                                   ";"085059";"6033524760010006";"818 VALLEY MALL PKWY          ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988024842";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DABNABBITS                                   ";"420764";"6033524760010005";"930 ½ VALLEY MALL PARKWAY     ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988024402";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DADANKO                                      ";"422097";"6035831590010002";"529 E HWY 395                 ";"SUITE A                  ";"KETTLE FALLS            ";"WA";"STEVENS";"991410000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5094750723"
"DAN'S POT SHOP                               ";"420599";"6033596950010002";"12525 WILLOWS RD NE STE 10    ";"                         ";"KIRKLAND                ";"WA";"KING";"980348735";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DANA MATTHEW DONOVICK                        ";"420654";"6035514410010001";"1101 N NORTHLAKE WAY          ";"STE B                    ";"SEATTLE                 ";"WA";"KING";"981038950";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DANK DEPOT                                   ";"421117";"6035555010010001";"1740 DOWN RIVER DR STE 400-B  ";"                         ";"WOODLAND                ";"WA";"COWLITZ";"986749354";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DANK'S WONDER EMPORIUM                       ";"412485";"6033500690010002";"1402 WEST REYNOLDS AVE        ";"                         ";"CENTRALIA               ";"WA";"LEWIS";"985313338";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3234543767"
"DANK'S WONDER EMPORIUM, LLC                  ";"415041";"6033500690010004";"9333 MARTIN WAY E             ";"STE 102                  ";"OLYMPIA                 ";"WA";"THURSTON";"985165969";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3234543767"
"DANK'S WONDER EMPORIUM, LLC                  ";"415041";"6033500690010007";"6906 MARTINE WAY E            ";"STE A                    ";"OLYMPIA                 ";"WA";"THURSTON";"985165567";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DANK'S WONDER EMPORIUM, LLC                  ";"421906";"6033500690010005";"168 STEWART RD SW             ";"STE 168 A                ";"PACIFIC                 ";"WA";"KING";"980472147";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"DAPPER DONS LLC                              ";"421567";"6034820110010001";"2014 NE 175TH ST              ";"                         ";"SHORELINE               ";"WA";"KING";"981555221";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DAVE RIGGS FARMS LLC                         ";"421493";"6034177530010001";"3213 NE VINE ST               ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988029544";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DAVE'S PLACE                                 ";"054522";"6033561310010005";"2708 1ST ST                   ";"                         ";"UNION GAP               ";"WA";"YAKIMA";"989031704";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DAVE'S PLACE                                 ";"415202";"6033561310010002";"10 MAPLE GROVE RD             ";"                         ";"SUNNYSIDE               ";"WA";"YAKIMA";"989440000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5098300275"
"DAVES PLACE                                  ";"054523";"6033561310010006";"10 MAPLE GROVE RD             ";"                         ";"SUNNYSIDE               ";"WA";"YAKIMA";"989449701";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DAVID DONOVICK                               ";"414793";"6035518080010001";"1101 N NORTHLAKE WAY          ";"STE C                    ";"SEATTLE                 ";"WA";"KING";"981038950";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DEAD TREE FARMS                              ";"420452";"6035503460010001";"27502 NE 147TH AVE            ";"                         ";"BATTLE GROUND           ";"WA";"CLARK";"986046604";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DELISH DELIGHTS BY DELINDA                   ";"421346";"6035469630010001";"2205 NE 315TH ST              ";"                         ";"LA CENTER               ";"WA";"CLARK";"986292224";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DENNIS ANTHONY HERRERA II                    ";"420672";"6035514530010001";"222 1/2 N WENATCHEE AVE       ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988016633";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DEREVYANNY LLC                               ";"421258";"6035030740010002";"5437 CALIFORNIA AVE SW STE C  ";"                         ";"SEATTLE                 ";"WA";"KING";"981361583";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DEREVYANNY LLC                               ";"421259";"6035030740010003";"7820 RAINIER AVE S STE A      ";"                         ";"SEATTLE                 ";"WA";"KING";"981184141";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DESTINATION HIGHWAY 420                      ";"414503";"6034539570010001";"1225 HOLLIS ST                ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983103611";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603406996"
"DIAMOND GREEN                                ";"413374";"6033542940010001";"4002 S 12TH ST                ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984051509";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2532225697"
"DILLAN DEAN LAZZARESCHI                      ";"421211";"6035577790010001";"5044 N VISSCHER ST            ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984072113";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DISTRICT 420                                 ";"421332";"6035603240010001";"3405 4TH AVE S                ";"                         ";"SEATTLE                 ";"WA";"KING";"981341904";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2532134741"
"DOC'S HOOKA CAFE                             ";"421764";"6035734200010001";"140 FLORENCE ST               ";"                         ";"PORT TOWNSEND           ";"WA";"JEFFERSON";"983689803";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DOCKSIDE CANNABIS                            ";"414174";"6033563140010001";"1728 4TH AVE S                ";"                         ";"SEATTLE                 ";"WA";"KING";"981340000";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2062236292"
"DOCKSIDE CANNABIS                            ";"414569";"6033546970010003";"15001 AURORA AVE N            ";"STE 15029                ";"SHORELINE               ";"WA";"KING";"981336134";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2066186094"
"DOCUMENT SERVICES NORTHWEST, INC.            ";"421681";"6034285470010001";"18 E SINTO AVE                ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992021842";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DOUGLAS COUNTY 502                           ";"412865";"6034219970010001";"2512 FOSTER CREEK AVE         ";"                         ";"BRIDGEPORT              ";"WA";"DOUGLAS";"988130000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5033177035"
"DOUGLAS COUNTY 502                           ";"412865";"6034219970010002";"410 ROCK ISLAND RD            ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988025360";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DRUID SOUL, LLC                              ";"421639";"6035598580010001";"153 RETREAT LN                ";"                         ";"CHIMACUM                ";"WA";"JEFFERSON";"983257724";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"DUTCHLAND                                    ";"420670";"6035514480010001";"14438 151ST PL SE             ";"                         ";"RENTON                  ";"WA";"KING";"980597301";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"E&H GENERAL CONTRACTING LLC                  ";"420394";"6033262870010001";"20329 292ND AVE SE            ";"                         ";"MAPLE VALLEY            ";"WA";"KING";"980387809";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EAST TO WEST HEALTH PRODUCTS                 ";"420708";"6035041260010001";"1954 NW BLUE RIDGE DR         ";"                         ";"SEATTLE                 ";"WA";"KING";"981775426";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EASTSIDE GREENLIGHT INC.                     ";"421367";"6032165020010001";"22106 SE 51ST PL              ";"                         ";"ISSAQUAH                ";"WA";"KING";"980299221";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EIGHTH WONDER                                ";"421154";"6032640120010002";"EIGHTH WONDER                 ";"11220 PACIFIC AVE S_STE B";"TACOMA                  ";"WA";"PIERCE";"984445526";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EK GREEN ALTERNATIVE WELLNESS                ";"420519";"6033498910010002";"21 S THIERMAN RD STE C        ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992125053";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ELARA LLC                                    ";"421902";"6035727160010001";"107 STATE ST                  ";"                         ";"SEDRO WOOLLEY           ";"WA";"SKAGIT";"982841515";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ELEMENTS OF SUNSHINE                         ";"420818";"6033633420010001";"3837 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187829";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ELEVATION                                    ";"420341";"6035499940010001";"235 RAINIER AVE S  STE B      ";"                         ";"RENTON                  ";"WA";"KING";"980572002";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD CITY COLLECTIVE                      ";"422186";"6030540150010001";"3161 ELLIOTT AVE STE 102      ";"                         ";"SEATTLE                 ";"WA";"KING";"981211016";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD CITY COLLECTIVE GARDENS              ";"422187";"6030540150010002";"12542 RENTON AVE S            ";"                         ";"SEATTLE                 ";"WA";"KING";"981783709";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD CITY CRONICS                         ";"414692";"6035502700010001";"7159 GUIDE MERIDIAN RD        ";"                         ";"LYNDEN                  ";"WA";"WHATCOM";"982640000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD CITY CRONICS                         ";"420908";"6035502700010002";"4770 PACIFIC HWY STE A        ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"98226    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD COAST                                ";"420416";"6034157540010001";"939 N CALLOW AVE # 100-B      ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983123806";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD DESERT HERBS LLC                     ";"421298";"6035550720010002";"215404 E BOWLES RD SUITE B    ";"                         ";"KENNEWICK               ";"WA";"BENTON";"99337    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD ELEMENTS L.L.C.                      ";"422827";"6036041950010001";"23040 PACIFIC HWY S           ";"                         ";"DES MOINES              ";"WA";"KING";"981987268";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD GREEN COLLECTIVE                     ";"420500";"6032708220010001";"4225 HARRISON AVE NW          ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985025069";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD HAZE CANNABIS EMPORIUM               ";"414841";"6033564060010002";"4033 NE SUNSET BLVD UNIT 5    ";"                         ";"RENTON                  ";"WA";"KING";"980564003";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2533069151"
"EMERALD LEAVES                               ";"413363";"6035615210010001";"2702 6TH AVE                  ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984067213";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2064825627"
"EMERALD PUFF                                 ";"415151";"6033562360010005";"2820 E HIGHWAY 101 # A        ";"                         ";"PORT ANGELES            ";"WA";"CLALLAM";"983629080";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD PUFF                                 ";"422880";"6033562360010004";"416 E 1ST ST   STE B          ";"                         ";"PORT ANGELES            ";"WA";"CLALLAM";"983623112";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD PUFF                                 ";"422881";"6033562360010006";"2820 E HIGHWAY 101 # B        ";"                         ";"PORT ANGELES            ";"WA";"CLALLAM";"983629080";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EMERALD WELLNESS CO-OP AND DISPENCSARY       ";"421509";"6035528700010001";"580 RIDGE RUNNER LANE         ";"                         ";"NEWPORT                 ";"WA";"PEND OREILLE";"991564105";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ENCHANTED GREENS, LLC                        ";"421483";"6035496890010001";"1042 POINT BROWN AVE SW       ";"                         ";"OCEAN SHORES            ";"WA";"GRAYS HARBOR";"98569    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ENDICOTT ENTERPRISES LLC                     ";"422454";"6035188950010004";"125 ALLMAN RD  STE C          ";"                         ";"WINLOCK                 ";"WA";"LEWIS";"985969314";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ENLIGHTENED STATE LLC                        ";"422723";"6036021400010001";"19020 WA-203                  ";"                         ";"MONROE                  ";"WA";"SNOHOMISH";"98272    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EPHEMERAL TOAST                              ";"421619";"6035692810010001";"8401 AURORA AVE N STE F       ";"                         ";"SEATTLE                 ";"WA";"KING";"981034332";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2066186094"
"EPIC HIGH                                    ";"420340";"6035497800010001";"235 RAINIER AVE S  STE A      ";"                         ";"RENTON                  ";"WA";"KING";"980572002";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ERIC JAMES DICKERSON                         ";"420600";"6017553030010003";"2735 SOUTH BAY RD NE          ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985062965";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ERIC THOMASSIAN                              ";"420771";"6035529010010001";"9030 MARTIN WAY E STE C       ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985165936";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ESHO FUNI LLC                                ";"421618";"6035692220010001";"8401 AURORA AVE. N. STE A     ";"                         ";"SEATTLE                 ";"WA";"KING";"981030000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2068568781"
"ESPION LLC                                   ";"420978";"6025952730010003";"14117 PACIFIC AVE S STE D     ";"                         ";"TACOMA                  ";"WA";"PIERCE";"98444    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ESPION LLC                                   ";"420980";"6025952730010006";"1965 4TH AVE E  STE C         ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985064631";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ETCETERA                                     ";"420314";"6035494190010001";"9200 AURORA AVE N             ";"                         ";"SEATTLE                 ";"WA";"KING";"981033213";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ETCETERA                                     ";"420759";"6035494190010002";"131 W DIVISION ST             ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982231239";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ETCETERA                                     ";"420760";"6035494190010003";"6621 MALTBY RD                ";"                         ";"WOODINVILLE             ";"WA";"KING";"980728386";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EUANTHE                                      ";"422843";"6035727040010002";"1501 E BADGER RD              ";"                         ";"LYNDEN                  ";"WA";"WHATCOM";"982649590";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EUPHORIUM                                    ";"084130";"6033543680010004";"19525 BOTHELL EVERETT HWY A   ";"                         ";"BOTHELL                 ";"WA";"SNOHOMISH";"980127116";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"9168359616"
"EUPHORIUM                                    ";"414495";"6033549340010003";"21127 STATE ROUTE 9 SE        ";"                         ";"WOODINVILLE             ";"WA";"SNOHOMISH";"980729703";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2063352683"
"EUPHORIUM LYNNWOOD                           ";"414496";"6033543680010001";"21127 STATE RT 9 SE           ";"UNIT B                   ";"WOODINVILLE             ";"WA";"SNOHOMISH";"980729703";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"EVAN WILLIAM MARQUES                         ";"420482";"6033618670010002";"1202 & 1206 STATE AVENUE NE   ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"98506    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVAN WILLIAM MARQUES                         ";"420828";"6033618670010003";"3855 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187829";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERETT CANNABIS                             ";"421448";"6035584490010003";"11627 AIRPORT RD              ";"SUITE F                  ";"EVERETT                 ";"WA";"SNOHOMISH";"982048714";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2068908368"
"EVERGREEN ALTERNATIVE                        ";"422924";"6036040150010002";"2491 E JOHNS PRAIRIE RD       ";"                         ";"SHELTON                 ";"WA";"MASON";"985848205";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN ALTERNATIVES                       ";"420719";"6032938300010001";"2716 PACIFIC AVE SE STE D     ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985018804";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN BUD DEPOT                          ";"414409";"6035666220010001";"1676 MCWILLIAMS RD STE A      ";"                         ";"BREMERTON               ";"WA";"KITSAP";"98311    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN BUD DEPOT                          ";"421816";"6035666220010002";"1676 NE MCWILLIAMS RD STE B   ";"                         ";"BREMERTON               ";"WA";"KITSAP";"98311    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN CANNABIS                           ";"415064";"6033581770010002";"922 PEACE PORTAL DR           ";"                         ";"BLAINE                  ";"WA";"WHATCOM";"982304409";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603328922"
"EVERGREEN CANNABIS                           ";"422616";"6033581770010004";"17918 STATE ROUTE 536  STE B  ";"                         ";"MOUNT VERNON            ";"WA";"SKAGIT";"982733269";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN LEGENDS                            ";"421584";"6035688810010001";"9636 16TH AVE SW STE B        ";"                         ";"SEATTLE                 ";"WA";"KING";"981062827";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN MARIJUANA                          ";"420776";"6035529750010001";"9020 S HOSMER ST #BB4         ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984441810";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"EVERGREEN STATE ENTERPRISES LLC              ";"422825";"6036041830010001";"2807 OLYMPIC HWY STE A        ";"                         ";"ABERDEEN                ";"WA";"GRAYS HARBOR";"985203158";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
